surface_id,bulk_id,gemnet_e_ads_o,gemnet_e_ads_oh,gemnet_U_limiting,gemnet_eta_ORR,dft_e_ads_o,dft_e_ads_oh,dft_U_limiting,dft_eta_ORR,dft_limiting_step,error_e_ads_o,error_e_ads_oh,error_eta,performance
mp-684798_010,mp-684798,2.245206359863281,0.8321726379394523,0.8321726379394523,0.3978273620605477,1.7609028700000025,0.2358139100000009,0.2358139100000009,0.994186089999999,4,0.48430348986327854,0.5963587279394513,-0.5963587279394513,Poor
mp-362_101,mp-362,1.7921958007812495,0.8813021240234367,0.8386978759765631,0.3913021240234369,1.9731729400000049,0.2112214699999945,0.2112214699999945,1.0187785300000054,4,-0.18097713921875536,0.6700806540234422,-0.6274764059765685,Poor
mp-19833_110,mp-19833,2.1227316894531247,0.9074709472656242,0.8125290527343756,0.4174709472656244,1.547379869999979,0.171295959999977,0.171295959999977,1.058704040000023,4,0.5753518194531457,0.7361749872656471,-0.6412330927343985,Poor
mp-700_001,mp-700,1.6321158447265622,0.8315737304687492,0.8005421142578131,0.4294578857421869,2.1084510899999813,0.1150764500000001,0.1150764500000001,1.1149235499999999,4,-0.4763352452734191,0.716497280468749,-0.685465664257813,Poor
mp-558378_110,mp-558378,1.9263510742187493,0.8213503417968742,0.8213503417968742,0.4086496582031258,4.607663529999989,1.5209826100000008,0.11331908000001167,1.1166809199999883,2,-2.68131245578124,-0.6996322682031266,-0.7080312617968625,Poor
mp-8675_100,mp-8675,2.3214926757812497,0.8767550048828117,0.8432449951171881,0.3867550048828119,2.955099710000006,1.6119123899999828,0.10808761000001699,1.121912389999983,1,-0.6336070342187563,-0.7351573851171711,-0.7351573851171711,Poor
mp-228_001,mp-228,1.9786887207031247,0.8619539794921867,0.8580460205078131,0.3719539794921869,1.5391180399999982,0.0516287399999804,0.0516287399999804,1.1783712600000196,4,0.43957068070312655,0.8103252394922063,-0.8064172805078327,Poor
mp-865144_001,mp-865144,1.9849448242187493,0.9138186035156242,0.8061813964843756,0.4238186035156244,1.0823885399999753,1.0607347899999944,0.02165374999998093,1.208346250000019,3,0.902556284218774,-0.14691618648437021,-0.7845276464843947,Poor
mp-1220914_011,mp-1220914,2.1475424804687497,0.8586123046874992,0.8586123046874992,0.3713876953125008,0.252705010000021,-0.0972942799999465,-0.0972942799999465,1.3272942799999465,4,1.8948374704687287,0.9559065846874457,-0.9559065846874457,Poor
mp-2578_001,mp-2578,1.7746634521484372,0.8890535888671867,0.8309464111328131,0.3990535888671869,3.2349300099999923,1.8860645699999985,-0.16606456999999875,1.3960645699999987,1,-1.460266557851555,-0.9970109811328118,-0.9970109811328118,Poor
