surface_id,bulk_id,crack_e_ads_o,gemnet_e_ads_o,crack_e_ads_oh,gemnet_e_ads_oh,fork_U_limiting,fork_eta_ORR,fork_limiting_step
mp-29249_001,mp-29249,2.4238944091796872,1.3969931640624995,1.0457613525390617,1.4592440185546869,0.6742386474609381,0.5557613525390619,1
mp-29266_011,mp-29266,1.6649222412109372,1.149960998535156,0.9796221313476554,0.7694399414062492,0.6853001098632818,0.5446998901367182,3
mp-29284_001,mp-29284,1.5694785156249995,1.5973410644531247,1.0021059570312492,1.2403872070312492,0.5673725585937504,0.6626274414062496,3
mp-29304_001,mp-29304,3.3400778808593747,2.8892416992187497,0.8917543945312492,1.6624453124999992,0.7516765136718746,0.4783234863281254,2
mp-29362_101,mp-29362,3.1716208496093747,3.3308615722656247,0.6565859374999992,1.1153719482421869,0.6565859374999992,0.5734140625000008,4
mp-29375_010,mp-29375,2.1787924804687497,1.5731101074218747,1.0927126464843742,1.3157961425781242,0.6272873535156256,0.6027126464843744,1
mp-29379_100,mp-29379,1.8157172241210933,1.3694281616210937,0.7761385498046867,0.8971941528320304,0.7761385498046867,0.4538614501953133,4
mp-29419_110,mp-29419,2.0644888916015622,2.0306754150390622,1.1880648193359369,1.1785585937499992,0.5319351806640631,0.6980648193359369,1
mp-29428_111,mp-29428,2.0379233398437497,2.1902670898437497,1.1855928955078117,0.8717653808593742,0.5344071044921881,0.6955928955078119,1
mp-29462_110,mp-29462,1.2505850830078122,1.1158804931640622,0.7471773681640617,0.3844301757812491,0.5034077148437506,0.7265922851562494,3
mp-29628_110,mp-29628,1.8633017578125,1.5219626464843747,1.2140505371093742,1.5604555664062492,0.5059494628906256,0.7240505371093744,1
mp-29652_10-1,mp-29652,2.1164755859375,2.3618979492187497,1.1253969726562492,1.6359560546874992,0.5946030273437506,0.6353969726562494,1
mp-29692_011,mp-29692,2.2424826660156247,1.4814353027343747,1.1162722167968742,1.6483156738281242,0.6037277832031256,0.6262722167968744,1
mp-29752_111,mp-29752,1.3149619140624995,0.8539633789062497,0.6037905273437492,0.3345034179687491,0.6037905273437492,0.6262094726562508,4
mp-29841_100,mp-29841,1.5744528808593747,1.3379111328124995,0.5591433105468742,0.6493227539062492,0.5591433105468742,0.6708566894531258,4
mp-29988_100,mp-29988,2.589360717773437,2.8575949707031247,0.6216585693359367,0.6532290039062492,0.6216585693359367,0.6083414306640633,4
mp-2_111,mp-2,1.4105429687499995,1.2550864257812495,0.7558138427734367,0.7873842773437492,0.6547291259765629,0.5752708740234371,3
mp-30019_100,mp-30019,1.7238364257812495,1.5691428222656247,0.7746584472656242,1.3959963378906242,0.7746584472656242,0.4553415527343758,4
mp-30066_110,mp-30066,1.5610251464843747,1.4745078124999995,0.8240969238281242,0.3545534667968741,0.7369282226562506,0.4930717773437494,3
mp-3006_101,mp-3006,1.2534079589843747,1.7560019531249995,0.6583101806640617,0.6323397216796867,0.5950977783203131,0.6349022216796869,3
mp-30151_10-1,mp-30151,2.2226157226562497,1.9506888427734368,0.8919222412109367,1.1116182861328117,0.8280777587890631,0.4019222412109369,1
mp-3019_100,mp-3019,1.9706473388671872,1.7958273925781247,0.6629869995117179,0.5604784545898429,0.6629869995117179,0.5670130004882821,4
mp-30343_111,mp-30343,1.654935363769531,1.3567328491210937,0.7022478637695304,0.3602678833007804,0.7022478637695304,0.5277521362304696,4
mp-30373_110,mp-30373,1.345914367675781,1.7090506591796872,0.5288088378906242,0.5160830078124992,0.5288088378906242,0.7011911621093758,4
mp-30461_001,mp-30461,1.4708151855468747,1.5187888183593747,0.5355227050781242,0.6049196777343742,0.5355227050781242,0.6944772949218758,4
mp-30463_001,mp-30463,1.6916403808593747,1.8239340820312495,0.8186647949218742,0.7677919921874992,0.8186647949218742,0.4113352050781258,4
mp-30464_001,mp-30464,1.5348105468749995,1.848775390625,0.5810244140624992,0.7567446289062492,0.5810244140624992,0.6489755859375008,4
